№ записи,Полное наименование нефтеперерабатывающего завода,Сокращенное наименование нефтеперерабатывающего завода,Юридический / почтовый адрес заявителя,Фактический / планируемый адрес расположения нефтеперерабатывающего завода,"Глубина переработки, % (на момент включения в реестр)",Основание и дата внесения в реестр,"Статус нефтеперерабатывающего завода (введен в эксплуатацию, строящийся, проектируемый)"
45,Закрытое акционерное общество «Торжокский топливно-энергетический комплекс»,ЗАО «ТоТЭК»,"172072, Тверская обл., Торжокский р-н, пос. Нерудный, АБЗ","Тверская обл., Торжокский р-н, дер. Чуриково",94,Распоряжение Минэнерго России № 1-р от  20 января 2012г,проектируемый
46,Закрытое акционерное общество «Корпорация ОРЕЛНЕФТЬ»,ЗАО «Корпорация ОРЕЛНЕФТЬ»,"302028, г. Орел, ул.Полесская, д.2","Орловская обл., Верховский р-н,                  Туровский с/с",97,Распоряжение Минэнерго России № 1-р от  20 января 2012г,проектируемый
47,Общество с ограниченной ответственностью «НПЗ Южной Бункерной компании»,ООО «НПЗ ЮБК»,"353910, Краснодарский край, г. Новороссийск, пр-т Ленина, д. 37, каб. № 18","Кемеровская обл., Кемеровский р-н, дер. Новая Балахонка",98,Распоряжение Минэнерго России о внесении изменений              № 7-р от                10 апреля 2015г,проектируемый
48,Общество с ограниченной ответственностью «ВПК-Ойл»,ООО «ВПК-Ойл»,"632640, Новосибирская обл., Коченевский р-н,          р.п. Коченево,                           ул. Промышленная 17","Новосибирская обл., Коченевский р-н,            р.п. Коченево",96,Распоряжение Минэнерго России о внесении изменений              № 8-р от                10 апреля 2015г,строящийся
49,Закрытое акционерное общество «АНТЕЙ»,ЗАО «АНТЕЙ»,"385140, Республика Адыгея, Тахтамукайский      р-н, пгт Яблоновский,         ул. Ленина, д.39а","Республика Адыгея, Тахтамукайский р-н,       пгт Яблоновский",98,Распоряжение Минэнерго России № 14-р от  17 июля 2012г,проектируемый
50,Закрытое акционерное общество «Восточная нефтехимическая компания»,ЗАО «ВНХК»,"692940, Приморский край, г. Находка, промышленная площадка ВНХК","Приморский край, Партизанский муниципальный район,                    падь Елизарова",92,Распоряжение Минэнерго России о внесении изменений              № 37-р от                25 декабря 2013г,проектируемый
51,Общество с ограниченной ответственностью  «Амурская Энергетическая Компания»,ООО «АЭК»,"675000, Амурская обл., г.Благовещенск, ул.Калинина, д. 103/1","Амурская обл., Ивановский р-н, п.Березовка",96,Распоряжение Минэнерго России № 22-р от  14 сентября 2012г,проектируемый
52,Общество с ограниченной ответственностью  «Нефтеперерабатывающий завод «Северный Кузбасс»,ООО «НПЗ «Северный Кузбасс»,"650070, Кемеровская обл., г. Кемерово, пр.Молодежный, 17","Кемеровская обл., Яйский р-н, пос. Безлесный",90,Распоряжение Минэнерго России о внесении изменений              № 17-р от                20 марта 2014г,строящийся
53,Общество с ограниченной ответственностью  «Западно-сибирский нефтеперерабатывающий завод»,ООО «ЗапСиб НПЗ»,"634003, г.Томск, ул.Бакунина 26","г.Томск, Октябрьский р-н, Северный промузел",95,Распоряжение Минэнерго России № 27-р от  14 декабря 2012г,проектируемый
54,Общество с ограниченной ответственностью  «Южнорусский нефтеперерабатывающий завод»,ООО «Южнорусский НПЗ»,"400005, Волгоградская обл., г. Жирновск, ул.Строителей 12","Волгоградская обл., Жирновский р-н, р.п. Красный Яр",98,Распоряжение Минэнерго России № 27-р от  14 декабря 2012г,проектируемый
